SDD21_Lower	ILD_Upper	ILD_Lower	SDD11_Upper
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN
-17.04	1.36	-1.36	-8.38890598294644
-17.04	1.362	-1.362	-8.38337173599498
-17.04	1.364	-1.364	-8.37784594474503
-17.04	1.366	-1.366	-8.37232857055659
-17.04	1.368	-1.368	-8.36681957508301
-17.04	1.37	-1.37	-8.36131892026795
-17.04	1.372	-1.372	-8.35582656834228
-17.04	1.374	-1.374	-8.35034248182107
-17.04	1.376	-1.376	-8.34486662350059
-17.04	1.378	-1.378	-8.33939895645537
-17.04	1.38	-1.38	-8.33393944403533
-17.04	1.382	-1.382	-8.32848804986284
-17.04	1.384	-1.384	-8.32304473782995
-17.04	1.386	-1.386	-8.31760947209561
-17.04	1.388	-1.388	-8.31218221708285
-17.04	1.39	-1.39	-8.30676293747612
-17.04	1.392	-1.392	-8.30135159821861
-17.04	1.394	-1.394	-8.29594816450957
-17.04	1.396	-1.396	-8.29055260180172
-17.04	1.398	-1.398	-8.28516487579866
-17.04	1.4	-1.4	-8.27978495245235
-17.04	1.402	-1.402	-8.27441279796057
-17.04	1.404	-1.404	-8.26904837876447
-17.04	1.406	-1.406	-8.26369166154612
-17.04	1.408	-1.408	-8.25834261322606
-17.04	1.41	-1.41	-8.25300120096096
-17.04	1.412	-1.412	-8.24766739214126
-17.04	1.414	-1.414	-8.24234115438881
-17.04	1.416	-1.416	-8.23702245555464
-17.04	1.418	-1.418	-8.23171126371665
-17.04	1.42	-1.42	-8.22640754717736
-17.04	1.422	-1.422	-8.22111127446176
-17.04	1.424	-1.424	-8.2158224143151
-17.04	1.426	-1.426	-8.21054093570072
-17.04	1.428	-1.428	-8.20526680779794
-17.04	1.43	-1.43	-8.2
-17.04	1.432	-1.432	-8.19474048191191
-17.04	1.434	-1.434	-8.18948822334847
-17.04	1.436	-1.436	-8.18424319433222
-17.04	1.438	-1.438	-8.17900536509144
-17.04	1.44	-1.44	-8.1737747060582
-17.04	1.442	-1.442	-8.1685511878664
-17.04	1.444	-1.444	-8.16333478134982
-17.04	1.446	-1.446	-8.15812545754029
-17.04	1.448	-1.448	-8.15292318766573
-17.04	1.45	-1.45	-8.14772794314836
-17.04	1.452	-1.452	-8.14253969560282
-17.04	1.454	-1.454	-8.13735841683441
-17.04	1.456	-1.456	-8.13218407883726
-17.04	1.458	-1.458	-8.12701665379258
-17.04	1.46	-1.46	-8.12185611406694
-17.04	1.462	-1.462	-8.11670243221048
-17.04	1.464	-1.464	-8.11155558095528
-17.04	1.466	-1.466	-8.10641553321364
-17.04	1.468	-1.468	-8.10128226207642
-17.04	1.47	-1.47	-8.09615574081137
-17.04	1.472	-1.472	-8.09103594286159
-17.04	1.474	-1.474	-8.08592284184381
-17.04	1.476	-1.476	-8.08081641154692
-17.04	1.478	-1.478	-8.07571662593028
-17.04	1.48	-1.48	-8.0706234591223
