SDD21_Lower	SDD11_Upper	ILD_Upper	ILD_Lower	NEXT_Upper	FEXT_Upper	SDD21_offset
-10.27	-7.97507764050038	1.508	-1.508	-1	-1	.814041
-10.27	-7.97011166407802	1.51	-1.51	-1	-1	.814042
-10.27	-7.9651517996336	1.512	-1.512	-1	-1	.816162
-10.27	-7.96019802465517	1.514	-1.514	-1	-1	.816208
-10.27	-7.95525031676866	1.516	-1.516	-1	-1	.817587
-10.27	-7.95030865373668	1.518	-1.518	-1	-1	.818909
-10.27	-7.94537301345734	1.52	-1.52	-1	-1	.820671
-10.27	-7.94044337396311	1.522	-1.522	-1	-1	.822821
-10.27	-7.93551971341969	1.524	-1.524	-1	-1	.824316
-10.27	-7.93060201012484	1.526	-1.526	-1	-1	.826922
-10.27	-7.92569024250733	1.528	-1.528	-1	-1	.82868
-10.27	-7.92078438912577	1.53	-1.53	-1	-1	.829939
-10.27	-7.91588442866757	1.532	-1.532	-1	-1	.831808
-10.27	-7.91099033994783	1.534	-1.534	-1	-1	.833538
-10.27	-7.90610210190826	1.536	-1.536	-1	-1	.834507
-10.27	-7.90121969361616	1.538	-1.538	-1	-1	.836447
-10.27	-7.89634309426336	1.54	-1.54	-1	-1	.836653
-10.27	-7.89147228316517	1.542	-1.542	-1	-1	.839623
-10.27	-7.88660723975937	1.544	-1.544	-1	-1	.842078
-10.27	-7.8817479436052	1.546	-1.546	-1	-1	.843837
-10.27	-7.87689437438234	1.548	-1.548	-1	-1	.844748
-10.27	-7.87204651188994	1.55	-1.55	-1	-1	.84693
-10.27	-7.86720433604564	1.552	-1.552	-1	-1	.848588
-10.27	-7.86236782688456	1.554	-1.554	-1	-1	.850616
-10.27	-7.8575369645584	1.556	-1.556	-1	-1	.851788
