SDD21_Lower	SDD11_Upper	SCD22_Upper	SCC11_Upper	SCD21-SDD21_Upper
-17.16	-12.7851648757987	-19.3235065942591	-2	-10
-17.16	-12.7797849524523	-19.3157486423584	-2	-10
-17.16	-12.7744127979606	-19.3079906904577	-2	-10
-17.16	-12.7690483787645	-19.300232738557	-2	-10
-17.16	-12.7636916615461	-19.2924747866563	-2	-10
-17.16	-12.7583426132261	-19.2847168347556	-2	-10
-17.16	-12.753001200961	-19.2769588828549	-2	-10
-17.16	-12.7476673921413	-19.2692009309542	-2	-10
-17.16	-12.7423411543888	-19.2614429790535	-2	-10
-17.16	-12.7370224555546	-19.2536850271528	-2	-10
-17.16	-12.7317112637166	-19.2459270752521	-2	-10
-17.16	-12.7264075471774	-19.2381691233514	-2	-10
-17.16	-12.7211112744618	-19.2304111714507	-2	-10
-17.16	-12.7158224143151	-19.22265321955	-2	-10
-17.16	-12.7105409357007	-19.2148952676493	-2	-10
-17.16	-12.7052668077979	-19.2071373157486	-2	-10
-17.16	-12.7	-19.1993793638479	-2	-10
-17.16	-12.6947404819119	-19.1916214119472	-2	-10
-17.16	-12.6894882233485	-19.1838634600465	-2	-10
-17.16	-12.6842431943322	-19.1761055081458	-2	-10
-17.16	-12.6790053650914	-19.1683475562452	-2	-10
-17.16	-12.6737747060582	-19.1605896043445	-2	-10
-17.16	-12.6685511878664	-19.1528316524438	-2	-10
-17.16	-12.6633347813498	-19.1450737005431	-2	-10
-17.16	-12.6581254575403	-19.1373157486424	-2	-10
-17.16	-12.6529231876657	-19.1295577967417	-2	-10
-17.16	-12.6477279431484	-19.121799844841	-2	-10
-17.16	-12.6425396956028	-19.1140418929403	-2	-10
-17.16	-12.6373584168344	-19.1062839410396	-2	-10
-17.16	-12.6321840788373	-19.0985259891389	-2	-10
-17.16	-12.6270166537926	-19.0907680372382	-2	-10
-17.16	-12.6218561140669	-19.0830100853375	-2	-10
-17.16	-12.6167024322105	-19.0752521334368	-2	-10
-17.16	-12.6115555809553	-19.0674941815361	-2	-10
-17.16	-12.6064155332136	-19.0597362296354	-2	-10
-17.16	-12.6012822620764	-19.0519782777347	-2	-10
-17.16	-12.5961557408114	-19.044220325834	-2	-10
-17.16	-12.5910359428616	-19.0364623739333	-2	-10
-17.16	-12.5859228418438	-19.0287044220326	-2	-10
-17.16	-12.5808164115469	-19.0209464701319	-2	-10
-17.16	-12.5757166259303	-19.0131885182312	-2	-10
-17.16	-12.5706234591223	-19.0054305663305	-2	-10
-17.16	-12.5655368854188	-18.9976726144298	-2	-10
-17.16	-12.5604568792816	-18.9899146625291	-2	-10
-17.16	-12.5553834153368	-18.9821567106284	-2	-10
-17.16	-12.5503164683737	-18.9743987587277	-2	-10
-17.16	-12.545256013343	-18.966640806827	-2	-10
-17.16	-12.5402020253553	-18.9588828549263	-2	-10
-17.16	-12.5351544796802	-18.9511249030256	-2	-10
-17.16	-12.5301133517442	-18.9433669511249	-2	-10
-17.16	-12.5250786171296	-18.9356089992242	-2	-10
-17.16	-12.5200502515735	-18.9278510473235	-2	-10
-17.16	-12.5150282309657	-18.9200930954228	-2	-10
-17.16	-12.510012531348	-18.9123351435221	-2	-10
-17.16	-12.5050031289124	-18.9045771916214	-2	-10
-17.16	-12.5	-18.8968192397207	-2	-10
-17.16	-12.4950031210998	-18.88906128782	-2	-10
-17.16	-12.4900124688473	-18.8813033359193	-2	-10
-17.16	-12.4850280200231	-18.8735453840186	-2	-10
-17.16	-12.4800497515516	-18.8657874321179	-2	-10
-17.16	-12.4750776405004	-18.8580294802172	-2	-10
-17.16	-12.470111664078	-18.8502715283165	-2	-10
-17.16	-12.4651517996336	-18.8425135764158	-2	-10
-17.16	-12.4601980246552	-18.8347556245151	-2	-10
-17.16	-12.4552503167687	-18.8269976726144	-2	-10
-17.16	-12.4461036588431	-18.8192397207137	-2	-10
-17.16	-12.4312921466544	-18.811481768813	-2	-10
-17.16	-12.4165166284555	-18.8037238169123	-2	-10
-17.16	-12.4017769297298	-18.7959658650116	-2	-10
-17.16	-12.3870728772268	-18.7882079131109	-2	-10
-17.16	-12.3724042989501	-18.7804499612102	-2	-10
-17.16	-12.357771024145	-18.7726920093095	-2	-10
-17.16	-12.3431728832868	-18.7649340574088	-2	-10
-17.16	-12.3286097080689	-18.7571761055081	-2	-10
-17.16	-12.3140813313913	-18.7494181536074	-2	-10
-17.16	-12.2995875873488	-18.7416602017068	-2	-10
-17.16	-12.2851283112201	-18.7339022498061	-2	-10
-17.16	-12.270703339456	-18.7261442979054	-2	-10
-17.16	-12.2563125096688	-18.7183863460047	-2	-10
-17.16	-12.2419556606212	-18.710628394104	-2	-10
-17.16	-12.2276326322151	-18.7028704422033	-2	-10
-17.16	-12.2133432654813	-18.6951124903026	-2	-10
-17.16	-12.1990874025691	-18.6873545384019	-2	-10
-17.16	-12.184864886735	-18.6795965865012	-2	-10
-17.16	-12.1706755623333	-18.6718386346005	-2	-10
-17.16	-12.1565192748052	-18.6640806826998	-2	-10
-17.16	-12.1423958706692	-18.6563227307991	-2	-10
-17.16	-12.1283051975106	-18.6485647788984	-2	-10
-17.16	-12.1142471039723	-18.6408068269977	-2	-10
-17.16	-12.1002214397443	-18.633048875097	-2	-10
-17.16	-12.0862280555545	-18.6252909231963	-2	-10
-17.16	-12.0722668031592	-18.6175329712956	-2	-10
-17.16	-12.0583375353335	-18.6097750193949	-2	-10
-17.16	-12.044440105862	-18.6020170674942	-2	-10
-17.16	-12.0305743695297	-18.5942591155935	-2	-10
-17.16	-12.0167401821128	-18.5865011636928	-2	-10
-17.16	-12.0029374003697	-18.5787432117921	-2	-10
-17.16	-11.9891658820321	-18.5709852598914	-2	-10
-17.16	-11.9754254857964	-18.5632273079907	-2	-10
-17.16	-11.9617160713147	-18.55546935609	-2	-10
-17.16	-11.9480374991864	-18.5477114041893	-2	-10
-17.16	-11.9343896309494	-18.5399534522886	-2	-10
-17.16	-11.9207723290723	-18.5321955003879	-2	-10
-17.16	-11.9071854569454	-18.5244375484872	-2	-10
-17.16	-11.8936288788729	-18.5166795965865	-2	-10
-17.16	-11.8801024600646	-18.5089216446858	-2	-10
-17.16	-11.866606066628	-18.5011636927851	-2	-10
-17.16	-11.8531395655601	-18.4934057408844	-2	-10
-17.16	-11.8397028247398	-18.4856477889837	-2	-10
-17.16	-11.82629571292	-18.477889837083	-2	-10
-17.16	-11.8129180997198	-18.4701318851823	-2	-10
-17.16	-11.7995698556173	-18.4623739332816	-2	-10
-17.16	-11.7862508519415	-18.4546159813809	-2	-10
-17.16	-11.7729609608652	-18.4468580294802	-2	-10
-17.16	-11.7597000553978	-18.4391000775795	-2	-10
-17.16	-11.7464680093774	-18.4313421256788	-2	-10
-17.16	-11.7332646974643	-18.4235841737781	-2	-10
-17.16	-11.7200899951337	-18.4158262218774	-2	-10
-17.16	-11.7069437786681	-18.4080682699767	-2	-10
-17.16	-11.6938259251511	-18.400310318076	-2	-10
-17.16	-11.6807363124601	-18.3925523661753	-2	-10
-17.16	-11.6676748192594	-18.3847944142746	-2	-10
-17.16	-11.6546413249938	-18.3770364623739	-2	-10
-17.16	-11.6416357098817	-18.3692785104732	-2	-10
-17.16	-11.6286578549082	-18.3615205585725	-2	-10
-17.16	-11.6157076418194	-18.3537626066718	-2	-10
-17.16	-11.6027849531149	-18.3460046547711	-2	-10
-17.16	-11.5898896720422	-18.3382467028704	-2	-10
-17.16	-11.5770216825901	-18.3304887509697	-2	-10
-17.16	-11.5641808694822	-18.322730799069	-2	-10
-17.16	-11.5513671181713	-18.3149728471683	-2	-10
-17.16	-11.5385803148325	-18.3072148952676	-2	-10
-17.16	-11.5258203463578	-18.299456943367	-2	-10
-17.16	-11.5130871003497	-18.2916989914663	-2	-10
-17.16	-11.5003804651155	-18.2839410395656	-2	-10
-17.16	-11.4877003296612	-18.2761830876649	-2	-10
-17.16	-11.4750465836858	-18.2684251357642	-2	-10
